Длина волны;1 к 1;1 к 2;1 к 3;1 к 4;1 к 5;латекс;канифоль
552;0.10927;0.07613;0.05873;0.04991;0.04465;0.58839;0.3672
553;0.10876;0.07574;0.05841;0.04964;0.04439;0.58501;0.36548
554;0.10822;0.07539;0.05814;0.04941;0.04416;0.5817;0.36386
555;0.10779;0.07507;0.05779;0.04916;0.0439;0.5782;0.36208
556;0.10728;0.07471;0.05751;0.04892;0.04369;0.575;0.36043
557;0.10683;0.07434;0.05725;0.04866;0.04349;0.57181;0.35884
558;0.10634;0.07404;0.05695;0.04843;0.04327;0.56856;0.35721
559;0.1059;0.07372;0.05667;0.04819;0.04306;0.56546;0.35562
560;0.10535;0.07326;0.05635;0.04788;0.04279;0.56207;0.35393
561;0.10487;0.07298;0.05609;0.04764;0.04257;0.55898;0.35233
562;0.10443;0.07265;0.05586;0.04741;0.04236;0.55592;0.3508
563;0.104;0.07231;0.05554;0.0472;0.04218;0.55286;0.34929
564;0.10352;0.07198;0.05528;0.04692;0.04193;0.54976;0.34778
565;0.10303;0.07162;0.05498;0.04663;0.04167;0.54675;0.34615
566;0.10254;0.07129;0.05472;0.04642;0.04146;0.54381;0.34462
567;0.10211;0.07101;0.05447;0.04622;0.04129;0.54076;0.34311
568;0.10175;0.07071;0.05426;0.04599;0.04111;0.53787;0.34169
569;0.10132;0.07042;0.05403;0.04582;0.04089;0.53497;0.34021
570;0.10091;0.07005;0.05373;0.04555;0.04065;0.532;0.33868
571;0.10042;0.0697;0.05342;0.0453;0.04044;0.52904;0.33717
572;0.09993;0.06938;0.05313;0.04506;0.04022;0.52623;0.33568
573;0.09959;0.06914;0.05293;0.04485;0.04004;0.52332;0.3342
574;0.09917;0.06888;0.05269;0.0446;0.03983;0.52042;0.33275
575;0.09869;0.06847;0.0524;0.04437;0.03958;0.51753;0.33125
576;0.09822;0.06807;0.05208;0.04407;0.03935;0.5146;0.32973
577;0.09787;0.06776;0.05183;0.0439;0.0392;0.51183;0.32831
578;0.0974;0.06749;0.05167;0.04373;0.03902;0.50914;0.32692
579;0.09697;0.06729;0.05144;0.04359;0.03888;0.50641;0.32562
580;0.09659;0.067;0.05119;0.0433;0.03868;0.50365;0.32419
581;0.09624;0.06671;0.05098;0.04306;0.03847;0.50093;0.32277
582;0.09583;0.06642;0.0507;0.04292;0.03828;0.49817;0.3214
583;0.09549;0.06613;0.05048;0.04274;0.03812;0.49547;0.32001
584;0.09508;0.0658;0.05016;0.04243;0.03787;0.49275;0.31859
585;0.0947;0.06551;0.04997;0.0423;0.03773;0.49019;0.31721
586;0.09428;0.06522;0.04974;0.04207;0.03755;0.48749;0.31581
587;0.09387;0.06499;0.04953;0.04189;0.03737;0.48492;0.31454
588;0.09349;0.06471;0.04935;0.04169;0.03716;0.48233;0.31319
589;0.09314;0.06441;0.04912;0.04144;0.03694;0.47969;0.31184
590;0.09273;0.06409;0.04887;0.04118;0.03673;0.47704;0.31049
591;0.09232;0.06383;0.04863;0.04108;0.03662;0.47458;0.30922
592;0.09195;0.06357;0.04837;0.04085;0.03638;0.47195;0.30783
593;0.09164;0.06334;0.04822;0.0407;0.0363;0.4695;0.30663
594;0.09125;0.06306;0.04799;0.04054;0.03613;0.46706;0.30531
595;0.09093;0.06285;0.04782;0.04036;0.03601;0.46465;0.30408
596;0.09058;0.06256;0.04758;0.04016;0.03578;0.46216;0.30276
597;0.09021;0.06226;0.04735;0.03995;0.03561;0.45967;0.3015
598;0.08986;0.06198;0.04707;0.0397;0.03537;0.45717;0.3002
599;0.08949;0.06175;0.04689;0.03957;0.0352;0.45474;0.29892
600;0.08908;0.06146;0.04665;0.03934;0.03506;0.45227;0.29758
601;0.08879;0.0612;0.04646;0.03917;0.03494;0.4498;0.29636
602;0.08846;0.061;0.0463;0.03902;0.03477;0.44743;0.29512
603;0.08809;0.06079;0.0461;0.0388;0.03464;0.44499;0.29378
604;0.08771;0.06049;0.04585;0.0386;0.03442;0.44258;0.2925
605;0.0874;0.06021;0.04565;0.03847;0.0343;0.44023;0.29137
606;0.0871;0.05994;0.04549;0.0383;0.03413;0.43785;0.29016
607;0.08669;0.05977;0.04529;0.03818;0.03401;0.43556;0.289
608;0.08636;0.05957;0.04517;0.03802;0.03386;0.43326;0.28781
609;0.086;0.05927;0.04494;0.03777;0.03365;0.43083;0.2865
610;0.08566;0.05902;0.04474;0.03755;0.03349;0.42865;0.28528
611;0.08545;0.05878;0.04456;0.03737;0.03329;0.42647;0.28409
612;0.08508;0.05852;0.0443;0.03719;0.03314;0.42421;0.2829
613;0.08478;0.05826;0.04404;0.03702;0.03299;0.42191;0.28171
614;0.08443;0.05806;0.04393;0.03691;0.03284;0.41965;0.28058
615;0.08406;0.05783;0.04372;0.03673;0.03264;0.41743;0.27946
616;0.08377;0.05763;0.04355;0.03658;0.03255;0.41524;0.27834
617;0.08351;0.05745;0.04343;0.03644;0.03246;0.41313;0.27724
618;0.08325;0.05725;0.04321;0.03632;0.03238;0.41107;0.27614
619;0.0829;0.05699;0.04309;0.03613;0.03224;0.40898;0.27498
620;0.08257;0.05681;0.04291;0.03595;0.03207;0.40689;0.27385
621;0.08235;0.05664;0.04276;0.03587;0.03197;0.4048;0.27281
622;0.08199;0.05635;0.04256;0.03568;0.03177;0.40259;0.27168
623;0.08163;0.05612;0.04233;0.03546;0.0316;0.40051;0.27061
624;0.08133;0.05589;0.04214;0.03528;0.03146;0.39842;0.26952
625;0.0811;0.05569;0.04202;0.03516;0.03136;0.39639;0.26839
626;0.08084;0.0555;0.04182;0.03503;0.03123;0.39439;0.26729
627;0.08058;0.05534;0.0417;0.03497;0.03113;0.39238;0.26625
628;0.08029;0.05516;0.04158;0.03481;0.03101;0.39041;0.26521
629;0.07999;0.05495;0.04141;0.03468;0.0309;0.38844;0.26416
630;0.07967;0.0547;0.04118;0.0345;0.03067;0.38638;0.26305
631;0.07938;0.05446;0.041;0.0343;0.03056;0.38437;0.26199
632;0.0791;0.05426;0.04085;0.03419;0.03046;0.38243;0.26094
633;0.07886;0.05408;0.04073;0.03407;0.03033;0.38051;0.25992
634;0.07861;0.05388;0.04056;0.03391;0.03024;0.37859;0.25891
635;0.07832;0.05363;0.04041;0.03378;0.03012;0.37668;0.25786
636;0.07794;0.05339;0.04013;0.03355;0.02991;0.37471;0.25676
637;0.07756;0.05315;0.03992;0.03333;0.02969;0.37268;0.25563
638;0.07719;0.05293;0.03973;0.03317;0.02951;0.37085;0.25462
639;0.07681;0.05272;0.03951;0.03299;0.02936;0.36894;0.2536
640;0.07657;0.05258;0.03938;0.0329;0.02924;0.36711;0.25261
641;0.07625;0.05241;0.03926;0.03278;0.02914;0.36534;0.25166
642;0.07596;0.05222;0.03905;0.03262;0.02902;0.3636;0.25066
643;0.07556;0.05197;0.03882;0.03241;0.02884;0.36174;0.24962
644;0.07538;0.0519;0.03871;0.03236;0.02879;0.36005;0.24873
645;0.07516;0.05177;0.03865;0.03227;0.02876;0.35829;0.2478
646;0.07495;0.05167;0.03851;0.0322;0.0287;0.3566;0.24687
647;0.0748;0.05153;0.03841;0.03214;0.02861;0.35483;0.24602
648;0.07462;0.05144;0.03835;0.03207;0.02856;0.3531;0.24515
649;0.07445;0.05133;0.0383;0.03198;0.02849;0.35146;0.24422
650;0.07426;0.05112;0.0381;0.03185;0.0284;0.34962;0.24323
651;0.07401;0.0509;0.03796;0.03171;0.02824;0.34784;0.24226
652;0.07376;0.05074;0.03786;0.03162;0.02815;0.34615;0.24135
653;0.07349;0.05058;0.0377;0.03148;0.02803;0.34439;0.24037
654;0.07326;0.05037;0.0376;0.03139;0.02797;0.34261;0.23946
655;0.07301;0.05014;0.03746;0.03122;0.02783;0.34087;0.23857
656;0.0728;0.04999;0.03728;0.03105;0.02769;0.33911;0.23759
657;0.07259;0.0498;0.03716;0.03096;0.02757;0.3374;0.23665
658;0.07243;0.04962;0.03703;0.03087;0.0275;0.3358;0.23578
659;0.07214;0.04938;0.03683;0.03067;0.02734;0.33411;0.2348
660;0.07188;0.04921;0.0367;0.03056;0.02722;0.3324;0.23392
661;0.07167;0.04906;0.03661;0.03046;0.02715;0.3308;0.23311
662;0.07146;0.04887;0.03642;0.03032;0.02701;0.32912;0.23212
663;0.07126;0.04874;0.03636;0.03021;0.02695;0.32751;0.23131
664;0.07092;0.04851;0.03615;0.03003;0.02675;0.32585;0.23032
665;0.07074;0.04834;0.03603;0.02992;0.02667;0.32428;0.22946
666;0.07062;0.04828;0.036;0.02989;0.02666;0.32278;0.2287
667;0.07034;0.0481;0.03587;0.02979;0.02654;0.32126;0.22781
668;0.07008;0.0479;0.03571;0.02965;0.0264;0.31966;0.2269
669;0.06981;0.04771;0.03558;0.0295;0.02628;0.31813;0.22604
670;0.0696;0.04756;0.03546;0.02943;0.02625;0.31654;0.22522
671;0.06941;0.04741;0.03537;0.02931;0.02614;0.31494;0.22437
672;0.06915;0.04716;0.03514;0.02913;0.02596;0.31331;0.22345
673;0.06895;0.04707;0.03505;0.02908;0.02583;0.31181;0.22263
674;0.06874;0.04688;0.03488;0.0289;0.02574;0.31026;0.22177
675;0.06853;0.04669;0.03476;0.02875;0.02565;0.30873;0.22092
676;0.06827;0.04665;0.03471;0.02869;0.02556;0.30731;0.22017
677;0.06808;0.04643;0.03458;0.02858;0.02544;0.30577;0.21931
678;0.06792;0.04626;0.03442;0.02847;0.02541;0.30429;0.21851
679;0.0677;0.04611;0.03436;0.02841;0.02534;0.30284;0.21773
680;0.06743;0.04588;0.03418;0.02826;0.02516;0.30128;0.21687
681;0.06726;0.04585;0.03419;0.02824;0.02518;0.29988;0.21614
682;0.067;0.04564;0.03397;0.02811;0.02496;0.29836;0.21527
683;0.0668;0.04552;0.03387;0.028;0.0249;0.29697;0.21445
684;0.06668;0.04544;0.03378;0.02789;0.02489;0.29556;0.2137
685;0.06644;0.04523;0.03362;0.02779;0.02473;0.29407;0.21289
686;0.06622;0.04512;0.03352;0.02771;0.02464;0.29265;0.21216
687;0.06601;0.04495;0.03339;0.02756;0.02454;0.29123;0.21133
688;0.06587;0.04483;0.03334;0.02754;0.02451;0.2899;0.21066
689;0.06564;0.04472;0.0332;0.02747;0.02444;0.28857;0.20988
690;0.06546;0.04454;0.03304;0.02733;0.02431;0.28703;0.20908
691;0.06528;0.04439;0.03296;0.02725;0.02422;0.28568;0.20828
692;0.06508;0.04427;0.03287;0.02715;0.02417;0.28438;0.20755
693;0.06493;0.04413;0.03276;0.02702;0.02405;0.28296;0.20679
694;0.06476;0.04402;0.03264;0.02693;0.02399;0.28162;0.20605
695;0.06451;0.04388;0.03258;0.02695;0.02394;0.28024;0.20532
696;0.06427;0.04366;0.03238;0.02669;0.02373;0.2787;0.20447
697;0.06413;0.04352;0.03229;0.02661;0.02367;0.27728;0.20369
698;0.06389;0.04337;0.0322;0.02655;0.02361;0.27592;0.20296
699;0.06364;0.04324;0.03207;0.02641;0.02351;0.27457;0.20219
700;0.06001;0.03973;0.02858;0.02286;0.02005;0.26982;0.19807
701;0.04129;0.02118;0.01009;0.00441;0.00153;0.25006;0.17892
702;0.03758;0.01755;0.00645;0.0009;-0.00203;0.24522;0.1747
703;0.03735;0.0174;0.00632;0.00076;-0.00215;0.24384;0.1739
704;0.03717;0.01729;0.00621;0.00066;-0.00218;0.24255;0.17322
705;0.037;0.01714;0.00609;0.00053;-0.00229;0.24126;0.17249
706;0.03677;0.017;0.00603;0.00044;-0.0024;0.24001;0.1718
707;0.03664;0.01691;0.00592;0.0004;-0.00238;0.23872;0.1711
708;0.03647;0.01677;0.00581;0.00031;-0.00253;0.23746;0.17043
709;0.03622;0.0166;0.00566;0.00023;-0.00267;0.23618;0.16969
710;0.036;0.01643;0.00549;0.00012;-0.00273;0.23489;0.16891
711;0.03577;0.01628;0.00543;-0.00002;-0.00287;0.23364;0.16821
712;0.0356;0.0161;0.00526;-0.00017;-0.00299;0.23239;0.16751
713;0.0354;0.01595;0.0051;-0.00037;-0.0031;0.23114;0.16678
714;0.03511;0.01576;0.00496;-0.0005;-0.00327;0.22983;0.16603
715;0.03497;0.01566;0.00488;-0.00063;-0.00336;0.22867;0.16534
716;0.03471;0.0154;0.00465;-0.00079;-0.00351;0.22739;0.16452
717;0.03442;0.01521;0.00447;-0.00098;-0.00369;0.22612;0.16376
718;0.03416;0.01495;0.00427;-0.00119;-0.00388;0.22476;0.16298
719;0.03389;0.01477;0.00404;-0.00145;-0.00401;0.2235;0.16222
720;0.03354;0.01447;0.0038;-0.00171;-0.00423;0.22217;0.16139
721;0.03319;0.0141;0.00352;-0.00197;-0.00452;0.22079;0.16057
722;0.03282;0.01389;0.0033;-0.00217;-0.00476;0.21948;0.15976
723;0.03268;0.01376;0.00322;-0.0022;-0.00479;0.21835;0.15909
724;0.03284;0.01393;0.00342;-0.00203;-0.00459;0.21747;0.15872
725;0.03299;0.01413;0.00365;-0.00183;-0.00435;0.21664;0.15845
726;0.03308;0.01427;0.00377;-0.00166;-0.00417;0.21577;0.15804
727;0.03304;0.01428;0.0038;-0.0016;-0.00415;0.21466;0.15747
728;0.03293;0.01424;0.0038;-0.00159;-0.00409;0.21359;0.15692
729;0.03284;0.01418;0.00378;-0.00163;-0.00409;0.21252;0.15636
730;0.03267;0.01402;0.00363;-0.00174;-0.00424;0.21141;0.15572
731;0.03246;0.01389;0.00357;-0.0018;-0.00433;0.21033;0.15508
732;0.03232;0.01376;0.00346;-0.00189;-0.00441;0.20923;0.15442
733;0.03215;0.01363;0.00339;-0.00204;-0.00453;0.20805;0.15381
734;0.03192;0.01344;0.00319;-0.0022;-0.00464;0.20695;0.15318
735;0.03172;0.01329;0.00304;-0.00233;-0.00476;0.20583;0.15253
736;0.03149;0.01308;0.00288;-0.00247;-0.00493;0.2047;0.15184
737;0.03123;0.01292;0.00272;-0.00259;-0.00508;0.20354;0.15117
738;0.03105;0.01276;0.00261;-0.00273;-0.00517;0.20247;0.15053
739;0.03094;0.01271;0.00255;-0.00276;-0.00522;0.20143;0.1499
740;0.03072;0.01257;0.00237;-0.00287;-0.00533;0.20033;0.14925
741;0.03052;0.01241;0.00226;-0.00299;-0.00542;0.19925;0.14864
742;0.03038;0.01228;0.00221;-0.00308;-0.00548;0.19821;0.14803
743;0.03023;0.01213;0.00212;-0.00313;-0.00555;0.19716;0.1474
744;0.03012;0.01207;0.00209;-0.00317;-0.00558;0.19609;0.14684
745;0.03009;0.0121;0.0022;-0.00308;-0.00548;0.19522;0.14639
746;0.02998;0.01205;0.00214;-0.00314;-0.00548;0.19426;0.14584
747;0.02986;0.01198;0.00201;-0.0032;-0.00552;0.1933;0.14526
748;0.02983;0.01196;0.00206;-0.00314;-0.00552;0.19238;0.14479
749;0.02972;0.0119;0.002;-0.00325;-0.0056;0.1913;0.14418
750;0.02957;0.01184;0.00195;-0.00331;-0.0056;0.19035;0.14362
751;0.02945;0.01175;0.00191;-0.00331;-0.00562;0.18941;0.14307
752;0.02934;0.01166;0.00191;-0.00334;-0.00565;0.18851;0.14258
753;0.02922;0.01161;0.00185;-0.00337;-0.00571;0.18753;0.14204
754;0.02914;0.01157;0.00182;-0.0034;-0.00572;0.18658;0.14149
755;0.02893;0.0114;0.00168;-0.00352;-0.00581;0.18562;0.14084
756;0.02879;0.01131;0.0016;-0.00362;-0.00587;0.18465;0.14029
757;0.02867;0.01122;0.00148;-0.00366;-0.00595;0.18365;0.13974
758;0.02852;0.01111;0.00143;-0.00372;-0.00594;0.18274;0.13921
759;0.0284;0.01102;0.00139;-0.00378;-0.00606;0.18187;0.13869
760;0.02823;0.01091;0.00124;-0.00392;-0.00618;0.18091;0.13805
761;0.02795;0.01074;0.00102;-0.00412;-0.00638;0.17987;0.13734
762;0.02783;0.01067;0.00101;-0.00418;-0.00642;0.17892;0.1368
763;0.02776;0.01059;0.00095;-0.00423;-0.00645;0.17804;0.13629
764;0.0276;0.01048;0.00081;-0.00429;-0.00652;0.17712;0.13574
765;0.02745;0.01035;0.00075;-0.00433;-0.00661;0.17622;0.13518
766;0.02733;0.01028;0.00069;-0.00438;-0.00661;0.17532;0.13466
767;0.02724;0.01019;0.00061;-0.00447;-0.00671;0.17444;0.13408
768;0.02718;0.01012;0.0005;-0.00453;-0.00681;0.17354;0.13356
769;0.02704;0.00999;0.00044;-0.00465;-0.00682;0.17264;0.13301
770;0.02695;0.00993;0.0004;-0.00465;-0.00688;0.17178;0.13251
771;0.02678;0.00978;0.00034;-0.00473;-0.00694;0.1709;0.13196
772;0.0266;0.00963;0.00024;-0.00482;-0.00702;0.17004;0.13145
773;0.02641;0.00961;0.00018;-0.00484;-0.00703;0.16917;0.13092
774;0.02632;0.00958;0.00015;-0.0049;-0.00702;0.16841;0.13046
775;0.02612;0.00946;0.00009;-0.00502;-0.00717;0.16751;0.12988
776;0.02602;0.00941;0.00003;-0.00505;-0.00717;0.16666;0.12938
777;0.02589;0.00934;-0.00005;-0.00507;-0.0072;0.16586;0.12888
778;0.02576;0.00925;-0.00018;-0.00516;-0.00726;0.16502;0.12839
779;0.02559;0.00914;-0.00021;-0.00522;-0.00737;0.16417;0.12788
780;0.02547;0.00905;-0.00029;-0.00525;-0.00739;0.16339;0.12737
781;0.02538;0.00891;-0.00034;-0.00533;-0.00746;0.16255;0.12688
782;0.0253;0.00885;-0.00043;-0.0054;-0.00752;0.1617;0.12639
783;0.02516;0.00877;-0.00049;-0.00546;-0.00758;0.16093;0.12587
784;0.02499;0.00867;-0.00053;-0.00555;-0.00764;0.16008;0.12538
785;0.0249;0.00856;-0.00058;-0.00557;-0.00766;0.15932;0.12488
786;0.0247;0.00841;-0.00069;-0.00566;-0.00774;0.15849;0.12437
787;0.0246;0.00839;-0.00072;-0.00566;-0.00775;0.1577;0.12393
788;0.02446;0.00835;-0.00079;-0.00568;-0.0078;0.15691;0.12343
789;0.02432;0.00816;-0.0009;-0.0058;-0.00784;0.15607;0.12286
790;0.02417;0.00801;-0.00101;-0.00594;-0.00801;0.15515;0.12233
791;0.02403;0.0079;-0.00114;-0.00607;-0.00807;0.15431;0.12177
792;0.02379;0.00777;-0.00128;-0.0062;-0.00821;0.15352;0.1212
793;0.02359;0.0076;-0.00142;-0.00629;-0.00836;0.15257;0.12064
794;0.02341;0.00749;-0.00151;-0.00638;-0.00842;0.15179;0.12009
795;0.02322;0.00735;-0.00166;-0.00652;-0.00853;0.15102;0.11957
796;0.02303;0.00716;-0.0018;-0.00667;-0.00867;0.15013;0.11902
797;0.02278;0.00693;-0.00198;-0.00687;-0.00882;0.14923;0.11844
798;0.02252;0.00664;-0.00223;-0.0071;-0.00905;0.14833;0.1178
799;0.02222;0.00644;-0.00246;-0.00728;-0.00931;0.14742;0.11722
800;0.02177;0.00607;-0.00284;-0.00766;-0.0097;0.14658;0.11655
